employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,estimator
Redwood Materials,3.6,Manufacturing,Chemical Manufacturing,2017.0,Unknown / Non-Applicable,Staff Data Scientist,"Carson City, NV",124000.0,176000.0,147821.0,Glassdoor
INTEL,4.1,Information Technology,Computer Hardware Development,1968.0,$10+ billion (USD),Information Security Data Scientist,"Hillsboro, OR",145000.0,217000.0,180906.0,Employer
eureka strategic consulting,3.7,,,,Unknown / Non-Applicable,Data Scientist,"Columbia, MD",99000.0,133000.0,114380.0,Glassdoor
Apartment List,4.6,Information Technology,Internet & Web Services,2011.0,Unknown / Non-Applicable,Staff Data Scientist,"Denver, CO",165000.0,230000.0,197500.0,Employer
Federal Reserve Bank of Cleveland,3.6,Financial Services,Banking & Lending,1913.0,$100 to $500 million (USD),Data Scientist I/II,"Cleveland, OH",98000.0,135000.0,115082.0,Glassdoor
Little Caesars/Blue Line Distribution,3.4,Restaurants & Food Service,Restaurants & Cafes,1959.0,Unknown / Non-Applicable,Data Scientist,"Detroit, MI",86000.0,116000.0,100087.0,Glassdoor
Charles River Laboratories,3.3,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1947.0,$1 to $5 billion (USD),Data Review Scientist 1,"Newark, DE",50000.0,50000.0,50000.0,Employer
IEEE Corporate,4.0,Nonprofit & NGO,Grantmaking & Charitable Foundations,1963.0,$100 to $500 million (USD),Data Scientist,"Piscataway, NJ",80000.0,120000.0,98128.0,Glassdoor
Facebook App,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),"Data Scientist, Product Analytics","San Francisco, CA",109000.0,171000.0,140000.0,Employer
Intuit,4.4,Information Technology,Software Development,1983.0,$10+ billion (USD),Staff Data Scientist,"Mountain View, CA",163000.0,211000.0,185182.0,Glassdoor
Harford Community College,3.9,Education,Colleges & Universities,1957.0,Unknown / Non-Applicable,Data Scientist,"Bel Air, MD",61000.0,79000.0,69890.0,Employer
Veterans United Home Loans,4.3,Financial Services,Banking & Lending,2002.0,Unknown / Non-Applicable,Data Scientist,"Columbia, MO",78000.0,114000.0,94497.0,Glassdoor
Wawa,3.8,Retail & Wholesale,Food & Beverage Stores,1902.0,$5 to $10 billion (USD),Senior Data Scientist,"Wawa, PA",110000.0,159000.0,132679.0,Glassdoor
MIT,4.4,Education,Colleges & Universities,1861.0,$1 to $5 billion (USD),Data Scientist – Learning Analytics,"Cambridge, MA",110000.0,125000.0,117500.0,Employer
Green Dot Corporation,3.0,Financial Services,Financial Transaction Processing,1999.0,$1 to $5 billion (USD),Remote - Fraud Data Scientist,Remote,107000.0,163000.0,134700.0,Employer
"Octapharma Plasma, Inc.",3.1,,,,Unknown / Non-Applicable,Data Scientist,"Charlotte, NC",89000.0,119000.0,102474.0,Glassdoor
InfoMagnus,4.3,Information Technology,Enterprise Software & Network Solutions,2013.0,Unknown / Non-Applicable,Data Scientist - mid level,Remote,130000.0,160000.0,145000.0,Employer
Manhattan Associates,4.1,Information Technology,Enterprise Software & Network Solutions,1990.0,$500 million to $1 billion (USD),Data Scientist,"Atlanta, GA",89000.0,123000.0,104676.0,Glassdoor
Automobile Club of Southern California,2.9,Insurance,Insurance Carriers,1900.0,$5 to $10 billion (USD),Data Scientist Lead,"Costa Mesa, CA",139000.0,185000.0,162050.0,Employer
Cox Automotive,4.0,Information Technology,Information Technology Support Services,2014.0,Unknown / Non-Applicable,Data Scientist I,"Irvine, CA",64000.0,96000.0,80300.0,Employer
Oceaneering,3.8,"Energy, Mining & Utilities",Energy & Utilities,1964.0,$1 to $5 billion (USD),Orion Navigation Data Scientist,"Clear Lake Shores, TX",75000.0,114000.0,92620.0,Glassdoor
Merck Sharp & Dohme,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1891.0,$10+ billion (USD),Postdoctoral Research Fellow- Data Scientist,"Rahway, NJ",103000.0,129000.0,115303.0,Glassdoor
Kyla,3.6,,,,Unknown / Non-Applicable,Senior Data Scientist,Remote,122000.0,132000.0,127067.0,Employer
JME Technologies,4.7,,,,Unknown / Non-Applicable,Data Scientist,"Reston, VA",100000.0,138000.0,117683.0,Glassdoor
CrowdStrike,4.2,Information Technology,Enterprise Software & Network Solutions,2011.0,$500 million to $1 billion (USD),"Director, Data Science Strategy (Remote)",Remote,185000.0,265000.0,225000.0,Employer
Idea Financial,4.2,Financial Services,Banking & Lending,2017.0,Unknown / Non-Applicable,Senior Data Scientist,"Miami, FL",105000.0,159000.0,129194.0,Glassdoor
Procter & Gamble,4.1,Manufacturing,Consumer Product Manufacturing,1837.0,$10+ billion (USD),Data Engineer Scientist,"Mason, OH",85000.0,115000.0,100000.0,Employer
INTEL,4.1,Information Technology,Computer Hardware Development,1968.0,$10+ billion (USD),College Graduate - Data Science (BS/MS),"Phoenix, AZ",110000.0,165000.0,137177.0,Employer
Old Republic Professional,3.2,Insurance,Insurance Carriers,1887.0,Unknown / Non-Applicable,"Data Scientist – Chicago, IL (Downtown)","Chicago, IL",71000.0,120000.0,92264.0,Glassdoor
"Clarity Innovations, LLC",4.8,Management & Consulting,Research & Development,2013.0,Unknown / Non-Applicable,Data Scientist 3 DS3 (VV) 1034,"Aurora, CO",95000.0,125000.0,109294.0,Glassdoor
Stanford University,4.3,Education,Colleges & Universities,1891.0,$10+ billion (USD),"Data Scientist, Global Capital Allocation Project","Stanford, CA",176000.0,199000.0,187500.0,Employer
Brunswick Corporation,3.9,Manufacturing,Consumer Product Manufacturing,1845.0,$1 to $5 billion (USD),Marketing Data Scientist,"Mettawa, IL",77000.0,106000.0,90567.0,Glassdoor
Faire,4.4,Retail & Wholesale,Wholesale,2017.0,Unknown / Non-Applicable,Senior Data Scientist - Search & Recommendation,Remote,156000.0,215000.0,185250.0,Employer
Texas Water Development Board,3.5,Government & Public Administration,State & Regional Agencies,1957.0,Unknown / Non-Applicable,24-50 - Hydrometeorology Data Scientist (Data Scientist I),"Austin, TX",,,,
Bridgestone Americas,3.9,Manufacturing,Transportation Equipment Manufacturing,1931.0,$10+ billion (USD),Materials Scientist - Data Science,"Akron, OH",80000.0,112000.0,94837.0,Glassdoor
Venmo,3.4,Financial Services,Financial Transaction Processing,2009.0,Unknown / Non-Applicable,Product Data Scientist,"San Jose, CA",73000.0,176000.0,124350.0,Employer
InnovIT USA,4.6,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist,"Richmond, VA",84000.0,122000.0,101083.0,Glassdoor
Teladoc Health,3.5,Healthcare,Health Care Services & Hospitals,2002.0,$1 to $5 billion (USD),Data Scientist III (JR16296),"Chicago, IL",91000.0,124000.0,106090.0,Glassdoor
TikTok,3.4,Information Technology,Internet & Web Services,2016.0,Unknown / Non-Applicable,"Data Scientist, Product Analytics (Early Career) - USDS","Mountain View, CA",114000.0,178000.0,145889.0,Employer
Dataworks,5.0,Information Technology,Information Technology Support Services,2021.0,$1 to $5 million (USD),Data Scientist,"New York, NY",120000.0,140000.0,130000.0,Employer
Blue Cross Blue Shield of Massachusetts,3.4,Insurance,Insurance Carriers,1937.0,$100 to $500 million (USD),Senior Data Scientist,"Boston, MA",140000.0,178000.0,159100.0,Employer
Center for Family Health and Education,2.9,,,,Unknown / Non-Applicable,Data Scientist,"Panorama City, CA",83000.0,128000.0,103023.0,Glassdoor
Morgan Stanley,3.9,Financial Services,Investment & Asset Management,1935.0,$10+ billion (USD),VP - Data Scientist,"New York, NY",131000.0,202000.0,162943.0,Glassdoor
Huntington Bank,3.6,Financial Services,Banking & Lending,1866.0,$10+ billion (USD),Data Scientist,"Columbus, OH",81000.0,119000.0,98365.0,Glassdoor
Gartner,4.1,Management & Consulting,Business Consulting,1979.0,$1 to $5 billion (USD),"Associate Data Scientist/Data Scientist, Business Analytics (Master’s Degree – Grad Date: December 2023 – May 2024)","Irving, TX",96000.0,131000.0,113250.0,Employer
CorVel Corporation,3.0,Insurance,Insurance Carriers,1987.0,$500 million to $1 billion (USD),Data Science Engineer (Data Scientist II),"Portland, OR",79000.0,122000.0,100265.0,Employer
Lynker Corporation,4.0,Information Technology,Enterprise Software & Network Solutions,2007.0,$5 to $25 million (USD),Physical Scientist - Data Assimilation,"College Park, MD",95000.0,131000.0,111711.0,Glassdoor
Novartis,3.9,,,,Unknown / Non-Applicable,Bioinformatician / Data Scientist / Computational Biologist,"Cambridge, MA",113000.0,169000.0,141000.0,Employer
Finrise,3.8,Information Technology,Internet & Web Services,2015.0,Unknown / Non-Applicable,Data Scientist,"Burlingame, CA",124000.0,169000.0,145008.0,Glassdoor
Xcel Energy,3.3,"Energy, Mining & Utilities",Energy & Utilities,1909.0,$10+ billion (USD),Associate Data Scientist,"Denver, CO",81000.0,116000.0,98434.0,Employer
Stanford University,4.3,Education,Colleges & Universities,1891.0,$10+ billion (USD),Data Scientist (GeoMatch),"Stanford, CA",72000.0,126000.0,99000.0,Employer
Sanborn Map Company,3.3,Management & Consulting,Research & Development,1886.0,$25 to $100 million (USD),Geospatial Data Scientist,"Boston, MA",67000.0,106000.0,86500.0,Employer
WSP,3.7,,,,$5 to $25 million (USD),Early Career Data Scientist/SQL GIS Developer,"Baltimore, MD",84000.0,120000.0,100407.0,Glassdoor
FocusKPI Inc.,3.2,Media & Communication,Advertising & Public Relations,,Less than $1 million (USD),Data Scientist,"Boston, MA",,,,
Retro,3.4,,,,Unknown / Non-Applicable,Machine Learning Scientist,"Redwood City, CA",170000.0,230000.0,200000.0,Employer
Research Foundation of The City University of New York,4.1,Management & Consulting,Research & Development,1963.0,$100 to $500 million (USD),Research Associate Data Scientist,"New York, NY",79000.0,85000.0,81500.0,Employer
Intuit,4.4,Information Technology,Software Development,1983.0,$10+ billion (USD),Senior Data Scientist,"San Diego, CA",141000.0,180000.0,159240.0,Glassdoor
Globalstar Inc.,3.6,Telecommunications,"Cable, Internet & Telephone Providers",2003.0,$25 to $100 million (USD),Data Scientist,"Covington, LA",83000.0,112000.0,96459.0,Glassdoor
"HITACHI GLOBAL AIR POWER US, LLC",3.3,,,,Unknown / Non-Applicable,"Data Scientist, Aftermarket","Chicago, IL",85000.0,117000.0,100130.0,Glassdoor
Antenna,3.7,,,,Unknown / Non-Applicable,Senior Data Analyst,Remote,100000.0,125000.0,112500.0,Employer
Caterpillar,4.0,Manufacturing,Machinery Manufacturing,1925.0,$10+ billion (USD),Data Scientist,"Morton, IL",107000.0,137000.0,120787.0,Glassdoor
David Yurman,3.7,Retail & Wholesale,Other Retail Stores,1980.0,Unknown / Non-Applicable,Data Scientist,"New York, NY",140000.0,160000.0,150000.0,Employer
Lilly,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1876.0,$10+ billion (USD),Data Scientist (Computer Vision),"Indianapolis, IN",99000.0,131000.0,114059.0,Glassdoor
Disney,3.8,Media & Communication,Film Production,1923.0,$10+ billion (USD),Sr Data Scientist,"Lake Buena Vista, FL",91000.0,127000.0,107557.0,Glassdoor
Vail Systems Inc.,3.5,Information Technology,Software Development,1991.0,Unknown / Non-Applicable,Data Scientist II,"Chicago, IL",83000.0,114000.0,97046.0,Glassdoor
Pacific Northwest National Laboratory,4.1,"Energy, Mining & Utilities",Energy & Utilities,1965.0,$1 to $5 billion (USD),Biostatistician Data Scientist 1,"Richland, WA",80000.0,108000.0,92955.0,Glassdoor
University of Washington,4.2,Education,Colleges & Universities,1861.0,$1 to $5 billion (USD),DATA SCIENTIST,"Seattle, WA",,,,
Republic Services,3.5,"Energy, Mining & Utilities",Energy & Utilities,1998.0,$5 to $10 billion (USD),Data Scientist I,"Phoenix, AZ",82000.0,115000.0,96932.0,Glassdoor
Machinify,4.1,Information Technology,Software Development,2016.0,Unknown / Non-Applicable,Principal ML Data Scientist,California,180000.0,250000.0,215000.0,Employer
Descript,4.4,Information Technology,Enterprise Software & Network Solutions,2017.0,Unknown / Non-Applicable,"Staff Data Scientist, Product Analytics",Remote,150000.0,195000.0,172500.0,Employer
NAVEX Global,3.4,Information Technology,Enterprise Software & Network Solutions,2012.0,$100 to $500 million (USD),Data Scientist Specialist,"Lake Oswego, OR",75000.0,75000.0,75000.0,Employer
The University of Chicago,4.2,Education,Colleges & Universities,1890.0,$1 to $5 billion (USD),Data Scientist,"Chicago, IL",92000.0,129000.0,108786.0,Glassdoor
"Grammarly, Inc.",4.3,Information Technology,Internet & Web Services,2009.0,Unknown / Non-Applicable,"Data Scientist, B2B Acquisition",United States,226000.0,281000.0,253500.0,Employer
Software Bloc,3.0,,,,Unknown / Non-Applicable,Data Scientist,"Plano, TX",99000.0,126000.0,111388.0,Glassdoor
Atlassian,4.0,Information Technology,Software Development,2002.0,Unknown / Non-Applicable,Senior People Data Scientist,"San Francisco, CA",140000.0,197000.0,165911.0,Glassdoor
Booz Allen,4.2,Management & Consulting,Business Consulting,1914.0,$5 to $10 billion (USD),Research Data Scientist,"Washington, DC",73000.0,166000.0,119550.0,Employer
Applied Materials,4.1,Manufacturing,Electronics Manufacturing,1967.0,$10+ billion (USD),Data Scientist IV (E4),"Austin, TX",144000.0,198000.0,171000.0,Employer
Bayer,3.9,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1863.0,$10+ billion (USD),Genomics Data Scientist Postdoc,"Chesterfield, MO",106000.0,159000.0,132500.0,Employer
BlueConduit,2.9,Information Technology,Computer Hardware Development,,Unknown / Non-Applicable,Data Scientist,Remote,120000.0,135000.0,127500.0,Employer
WEX Inc.,3.7,Financial Services,Investment & Asset Management,1983.0,$1 to $5 billion (USD),Data Scientist III,United States,113000.0,150000.0,131500.0,Employer
Itemize Corp.,3.6,Information Technology,Computer Hardware Development,2013.0,$1 to $5 million (USD),Data Scientist,Remote,130000.0,140000.0,135000.0,Employer
Rock Landing II,3.8,Healthcare,Health Care Services & Hospitals,1915.0,$1 to $5 billion (USD),Quality Data Scientist,"Newport News, VA",81000.0,120000.0,98558.0,Glassdoor
National Consulting Partners,3.6,,,,Unknown / Non-Applicable,Data Scientist,Remote,110000.0,130000.0,120000.0,Employer
Risk Strategies Consulting,3.6,,,,,"Data Scientist, HEOR",Remote,100000.0,125000.0,112500.0,Employer
WTAnow,3.7,,,,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",106000.0,140000.0,121754.0,Glassdoor
WTAnow,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",106000.0,140000.0,121754.0,Glassdoor
Divi Technologies,3.3,,,,,Data Scientist,Remote,140000.0,150000.0,145000.0,Employer
Abile Group  Inc.,5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Jr. Data Scientist,"Springfield, VA",81000.0,118000.0,97529.0,Glassdoor
Cognowiz solutions LLC,4.7,,,,,Data Scientist,"Herndon, VA",70000.0,70000.0,70000.0,Employer
Z Supply Inc.,2.9,Manufacturing,Consumer Product Manufacturing,2013.0,Unknown / Non-Applicable,ECOMMERCE DATA SCIENTIST,"Costa Mesa, CA",90000.0,150000.0,120000.0,Employer
Embold Health,4.5,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Data Scientist,"Nashville, TN",91000.0,120000.0,104183.0,Glassdoor
Charlie Health Engineering  Product & Design,3.2,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Senior Data Scientist,"New York, NY",144000.0,198000.0,171000.0,Employer
Stable Analytics LLC,4.0,,,,,Data Scientist,"Lexington, KY",85000.0,140000.0,112500.0,Employer
Astrana Health,3.3,,,,,Junior Data Scientist,Remote,100000.0,110000.0,105000.0,Employer
US News & World Report L.P.,2.6,Media & Communication,Publishing,1933.0,$100 to $500 million (USD),Data Scientist,"Washington, DC",101000.0,145000.0,121010.0,Glassdoor
RADcube LLC,4.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist,"Indianapolis, IN",88000.0,130000.0,106755.0,Glassdoor
Technuf LLC,4.0,,,,Unknown / Non-Applicable,Data Scientist,"Rockville, MD",113000.0,143000.0,128000.0,Employer
Actfore,3.0,Information Technology,Information Technology Support Services,2022.0,$5 to $25 million (USD),Junior Data Scientist,"Reston, VA",82000.0,123000.0,100654.0,Glassdoor
Aperia Technologies Inc,3.7,Manufacturing,Consumer Product Manufacturing,2010.0,$5 to $25 million (USD),"Data Scientist, Remote","Hayward, CA",110000.0,132000.0,121000.0,Employer
Integra Connect Careers,4.1,,,,,Data Scientist,United States,75000.0,120000.0,97500.0,Employer
Dezign Concepts LLC,3.7,Information Technology,Information Technology Support Services,2005.0,$1 to $5 million (USD),Data Scientist,"McLean, VA",165000.0,165000.0,165000.0,Employer
Octapharma Plasma Inc.,3.1,,,,Unknown / Non-Applicable,Data Scientist,"Charlotte, NC",89000.0,119000.0,102474.0,Glassdoor
Merck Sharp & Dohme,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1891.0,$10+ billion (USD),Postdoctoral Research Fellow- Data Scientist,"Rahway, NJ",75000.0,86000.0,80500.0,Employer
People Technology & Processes,3.5,Information Technology,Enterprise Software & Network Solutions,2010.0,$5 to $25 million (USD),Data Scientist,"Fort Eustis, VA",90000.0,126000.0,106121.0,Glassdoor
Viasat Inc.,3.8,Telecommunications,Telecommunications Services,1986.0,$1 to $5 billion (USD),"Machine Learning Engineer, Early Career","Carlsbad, CA",94000.0,158000.0,125500.0,Employer
University of California Santa Cruz,4.1,Education,Colleges & Universities,1965.0,$100 to $500 million (USD),Data Scientist,"Monterey, CA",72000.0,72000.0,71500.0,Employer
Itemize Corp.,2.9,Information Technology,Computer Hardware Development,2013.0,$1 to $5 million (USD),Data Scientist,Remote,130000.0,140000.0,135000.0,Employer
National Consulting Partners,2.9,,,,Unknown / Non-Applicable,Data Scientist,Remote,110000.0,130000.0,120000.0,Employer
Postal.io Inc.,4.4,Information Technology,Software Development,2019.0,Unknown / Non-Applicable,Data Scientist,"San Luis Obispo, CA",86000.0,132000.0,106167.0,Glassdoor
Na Oiwi Kane,3.1,,,,Unknown / Non-Applicable,Data Scientist,"Washington, DC",89000.0,126000.0,105650.0,Glassdoor
MIT,4.4,Education,Colleges & Universities,1861.0,$1 to $5 billion (USD),Data Scientist вЂ“ Learning Analytics,"Cambridge, MA",110000.0,125000.0,117500.0,Employer
Professional Solutions Delivered LLC,4.6,Information Technology,Information Technology Support Services,2009.0,$25 to $100 million (USD),Senior Data Scientist,"Washington, DC",121000.0,161000.0,139568.0,Glassdoor
Gametime United Inc.,4.4,"Arts, Entertainment & Recreation",Ticket Sales,2013.0,$25 to $100 million (USD),Data Scientist - Finance,Remote,150000.0,205000.0,177500.0,Employer
Castellum Inc,2.6,,,,Unknown / Non-Applicable,"Senior Information Operations Data Scientist (AI, ML)","Arlington, VA",89000.0,135000.0,109582.0,Glassdoor
InnovaSystems A Cydecor Company,3.1,,,,,Data Scientist,"Arlington, VA",110000.0,130000.0,120000.0,Employer
Slalom Consulting,4.0,Management & Consulting,Business Consulting,2001.0,$1 to $5 billion (USD),Principal Data Scientist,"Washington, DC",144000.0,187000.0,164029.0,Glassdoor
Web Business Solutions,5.0,Aerospace & Defense,Aerospace & Defense,,Unknown / Non-Applicable,Senior Academic Data Analyst,"Suffolk, VA",49000.0,70000.0,58269.0,Glassdoor
Knowesis Inc.,4.5,Management & Consulting,Business Consulting,2007.0,$25 to $100 million (USD),Data Scientist I,"Hurlburt Fld, FL",66000.0,101000.0,81665.0,Glassdoor
Lockton Inc.,4.1,Insurance,Insurance Agencies & Brokerages,1966.0,$1 to $5 billion (USD),Data Scientist,"Dallas, TX",107000.0,142000.0,123627.0,Glassdoor
DirectViz Solutions LLC,3.4,Information Technology,Information Technology Support Services,2012.0,Unknown / Non-Applicable,"Data Scientist-Sierra Vista, AZ","Sierra Vista, AZ",93000.0,129000.0,109295.0,Glassdoor
CareConnectMD Inc,2.0,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Data Scientist - Finance & Analytics,"Costa Mesa, CA",90000.0,129000.0,108078.0,Glassdoor
Tria Federal (Tria),4.9,,,,Unknown / Non-Applicable,Data Scientist,"Reston, VA",114000.0,164000.0,136610.0,Glassdoor
Rivago Infotech Inc.,4.0,,,,Unknown / Non-Applicable,Sr. Data Modeler/Data Analyst,Remote,124800.0,134400.0,129600.0,Employer
Synertex LLC,3.8,Government & Public Administration,National Agencies,2016.0,Unknown / Non-Applicable,Data Analyst/Scientist,"Linthicum Heights, MD",72000.0,111000.0,89179.0,Glassdoor
John Hancock,4.0,Insurance,Insurance Carriers,1862.0,$25 to $100 million (USD),Associate Data Scientist,"Boston, MA",95000.0,117000.0,105253.0,Glassdoor
VivusTech,4.9,,,,Unknown / Non-Applicable,Data Scientist,"Chantilly, VA",82000.0,117000.0,98065.0,Glassdoor
NIMIR Corporation,3.7,,,,,Sr. Data Scientist,"Washington, DC",153600.0,153600.0,153600.0,Employer
Fulcrum Analytics,3.0,,,,,Data Scientist,Remote,100000.0,130000.0,115000.0,Employer
JY Systems LLC,5.0,,,,Unknown / Non-Applicable,Data Scientist Level 2,"Fort Meade, MD",77000.0,107000.0,90765.0,Glassdoor
McAfee LLC,3.8,Information Technology,Computer Hardware Development,1987.0,$10+ billion (USD),"Data Scientist, Marketing Analytics",Remote,107000.0,176000.0,141960.0,Employer
Gradient Metrics,3.3,,,,Unknown / Non-Applicable,(Survey) Marketing Data Scientist,Remote,50000.0,100000.0,75000.0,Employer
University of Maryland Medical System,3.3,Healthcare,Health Care Services & Hospitals,1984.0,$1 to $5 billion (USD),Healthcare Data Scientist,"North Bethesda, MD",107000.0,154000.0,128550.0,Glassdoor
RealmOne,4.0,,,,,Data Scientist 2,"Wahiawa, HI",98000.0,135000.0,116500.0,Employer
The JAAW Group,3.5,,,,Unknown / Non-Applicable,Data Scientist,"Salt Lake City, UT",70000.0,100000.0,85000.0,Employer
Huski,3.0,,,,,Data Scientist,Remote,100000.0,150000.0,125000.0,Employer
Innovative Analytic Solutions,4.3,,,,,Sr. Data Analyst,"Washington, DC",85000.0,103000.0,94060.0,Employer
Systems Planning and Analysis Inc.,4.5,Aerospace & Defense,Aerospace & Defense,1972.0,$100 to $500 million (USD),Data Scientist,"Norfolk, VA",94000.0,133000.0,111939.0,Glassdoor
Intelliswift Software Inc.,3.9,Information Technology,Software Development,2001.0,$100 to $500 million (USD),"Data Scientist, Product Insights","San Francisco, CA",202809.59999999998,202809.59999999998,202809.59999999998,Employer
CTC Group,3.7,,,,Unknown / Non-Applicable,Data Scientist,"Fort Meade, MD",88000.0,123000.0,104115.0,Glassdoor
InnovaSystems A Cydecor Company,4.2,,,,,Data Scientist,"Arlington, VA",110000.0,130000.0,120000.0,Employer
Jackson Lewis,3.9,Legal,Legal,1958.0,$100 to $500 million (USD),Data Scientist,"Houston, TX",81000.0,116000.0,96735.0,Glassdoor
Cydecor Inc.,4.6,Management & Consulting,Business Consulting,2005.0,$25 to $100 million (USD),Data Scientist,"Arlington, VA",80000.0,132000.0,102778.0,Glassdoor
Akina Inc.,5.0,,,,Unknown / Non-Applicable,Data Scientist - 2,"Annapolis Junction, MD",165000.0,165000.0,165000.0,Employer
National Consulting Partners,3.8,,,,Unknown / Non-Applicable,Data Scientist,Remote,110000.0,130000.0,120000.0,Employer
Prodege LLC,3.4,Information Technology,Internet & Web Services,2005.0,Unknown / Non-Applicable,Sr. Data Analyst,"Mendota Heights, Dakota, MN",85000.0,140000.0,112500.0,Employer
Rivago Infotech Inc.,2.9,,,,Unknown / Non-Applicable,Sr. Data Modeler/Data Analyst,Remote,124800.0,134400.0,129600.0,Employer
Pinnacle Minds Inc.,3.7,,,,,AI Data Analyst,Remote,115000.0,115000.0,115000.0,Employer
AIM Technical Group LLC,3.3,,,,Unknown / Non-Applicable,Data Scientist,Remote,134400.0,153600.0,144000.0,Employer
Cognowiz solutions LLC,3.0,,,,,Data Scientist,"Herndon, VA",70000.0,90000.0,80000.0,Employer
Tekshapers Inc,3.8,Information Technology,Software Development,2009.0,$5 to $25 million (USD),Data Scientist,Remote,153600.0,172800.0,163200.0,Employer
Tapcart,3.3,Information Technology,Enterprise Software & Network Solutions,2017.0,$5 to $25 million (USD),Senior Data Analyst,California,120000.0,150000.0,135000.0,Employer
Grammarly Inc.,4.3,Information Technology,Internet & Web Services,2009.0,Unknown / Non-Applicable,"Data Scientist, B2B Acquisition",United States,226000.0,281000.0,253500.0,Employer
Data Society,3.0,Nonprofit & NGO,Grantmaking & Charitable Foundations,,$1 to $5 million (USD),Data Scientist,"Richmond, VA",110000.0,120000.0,115000.0,Employer
BasisPath Inc,5.0,Government & Public Administration,National Agencies,2013.0,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",102000.0,140000.0,119357.0,Glassdoor
Camgian,4.8,Information Technology,Software Development,2006.0,$25 to $100 million (USD),Junior Data Scientist,"Starkville, MS",64000.0,101000.0,80231.0,Glassdoor
NextDeavor Inc.,4.5,,,,Unknown / Non-Applicable,"Data Scientist, Product Insights","San Francisco, CA",172800.0,202809.59999999998,187795.2,Employer
Na Oiwi Kane,4.7,,,,Unknown / Non-Applicable,Data Scientist,"Washington, DC",89000.0,126000.0,105650.0,Glassdoor
Axle Informatics,3.6,Management & Consulting,Research & Development,2002.0,$100 to $500 million (USD),Data Scientist,"Rockville, MD",98000.0,135000.0,114975.0,Glassdoor
Qeexo Co.,4.4,,,,Less than $1 million (USD),Machine Learning Engineer,"Pittsburgh, PA",94000.0,137000.0,113088.0,Glassdoor
Themis Insight,4.7,,,,Unknown / Non-Applicable,Data Scientist,"Fort Meade, MD",85000.0,118000.0,100304.0,Glassdoor
Diverse Team LLC,3.5,,,,Unknown / Non-Applicable,Data Scientist/ Annotator (Fulltime),"Alpharetta, GA",100000.0,100000.0,100000.0,Employer
Marriott International Inc,4.0,Hotels & Travel Accommodation,Hotels & Resorts,1927.0,$10+ billion (USD),Data Scientist,"Bethesda, MD",96000.0,190000.0,143096.0,Employer
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Senior Data Scientist,"Sacramento, CA",97000.0,202000.0,149618.0,Employer
United Launch Alliance,3.9,Aerospace & Defense,Aerospace & Defense,2006.0,Unknown / Non-Applicable,Data Scientist 3,"Denver, CO",97000.0,135000.0,114321.0,Glassdoor
The Kenjya-Trusant Group LLC,3.7,Management & Consulting,Business Consulting,2002.0,$5 to $25 million (USD),(VV) Data Scientist - Level 2 (TS/SCI w/ Poly),"Augusta, GA",65000.0,102000.0,81171.0,Glassdoor
Astrana Health,3.6,,,,,Junior Data Scientist,Remote,100000.0,110000.0,105000.0,Employer
Skydio,4.7,Information Technology,Computer Hardware Development,2014.0,Unknown / Non-Applicable,Autonomy Engineer - Deep Learning Infrastructure,"San Mateo, CA",170000.0,215000.0,192500.0,Employer
Techhive consulting llc,3.7,,,,,Senior Clinical Data Analyst,Remote,96000.0,96000.0,96000.0,Employer
The Center For Organizational Excellence Inc,3.8,Management & Consulting,Business Consulting,1984.0,$5 to $25 million (USD),Data Scientist,"Rockville, MD",89000.0,129000.0,107008.0,Glassdoor
Divi Technologies,3.6,,,,,Data Scientist,Remote,140000.0,150000.0,145000.0,Employer
DonorSearch,4.0,Financial Services,Accounting & Tax,,Unknown / Non-Applicable,Junior Data Scientist,United States,60000.0,65000.0,62500.0,Employer
Atlassian,4.0,Information Technology,Software Development,2002.0,Unknown / Non-Applicable,Senior Data Scientist - Marketing Data Science,"San Francisco, CA",132000.0,175000.0,151887.0,Glassdoor
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Lead Data Scientist,"New York, NY",136000.0,268000.0,202009.0,Employer
County of Riverside,3.2,Government & Public Administration,State & Regional Agencies,1893.0,Unknown / Non-Applicable,Public Health Data Scientist - RUHS - Research Projects and Administration,"Moreno Valley, CA",70000.0,112000.0,88873.0,Glassdoor
